country,continent,year,lifeExp,pop,logGdpPerCap
Afghanistan,Asia,1952,28.801,8425333,6.65858253145061
Afghanistan,Asia,1957,30.332,9240934,6.710344079542025
Afghanistan,Asia,1962,31.997,10267083,6.7488776061731235
Afghanistan,Asia,1967,34.02,11537966,6.7288643965296195
Afghanistan,Asia,1972,36.088,13079460,6.606624653169548
Afghanistan,Asia,1977,38.438,14880372,6.667101005948512
Afghanistan,Asia,1982,39.854,12881816,6.885521366080938
Afghanistan,Asia,1987,40.822,13867957,6.748051142822249
Afghanistan,Asia,1992,41.674,16317921,6.475958611063048
Afghanistan,Asia,1997,41.763,22227415,6.454162415088657
Afghanistan,Asia,2002,42.129,25268405,6.588560598778614
Afghanistan,Asia,2007,43.828,31889923,6.882006956185797
Albania,Europe,1952,55.23,1282697,7.3784187754675905
Albania,Europe,1957,59.28,1476505,7.571620004773058
Albania,Europe,1962,64.82,1728137,7.746252653296928
Albania,Europe,1967,66.22,1984060,7.923057307977371
Albania,Europe,1972,67.69,2263554,8.105736827926755
Albania,Europe,1977,68.93,2509048,8.169903754066713
Albania,Europe,1982,70.42,2780097,8.197230520971159
Albania,Europe,1987,72,3075321,8.226555484710984
Albania,Europe,1992,71.581,3326498,7.823020645749118
Albania,Europe,1997,72.95,3428038,8.068733293727343
Albania,Europe,2002,75.651,3508512,8.43472675857576
Albania,Europe,2007,76.423,3600523,8.688964207477106
Algeria,Africa,1952,43.077,9279525,7.803438399127065
Algeria,Africa,1957,45.685,10270856,8.011015423945773
Algeria,Africa,1962,48.303,11000948,7.844168931950976
Algeria,Africa,1967,51.407,12760499,8.085484237760244
Algeria,Africa,1972,54.518,14760787,8.338703587145247
Algeria,Africa,1977,58.014,17152804,8.499114096208949
Algeria,Africa,1982,61.368,20033753,8.656113077274341
Algeria,Africa,1987,65.799,23254956,8.644945662517772
Algeria,Africa,1992,67.744,26298373,8.521825773817342
Algeria,Africa,1997,69.152,29072015,8.47580750701102
Algeria,Africa,2002,70.994,31287142,8.573203018037916
Algeria,Africa,2007,72.301,33333216,8.736066432319678
Angola,Africa,1952,30.015,4232095,8.166389626576143
Angola,Africa,1957,31.999,4561361,8.250082199944066
Angola,Africa,1962,34,4826015,8.359199710611406
Angola,Africa,1967,35.985,5247469,8.616635979311402
Angola,Africa,1972,37.928,5894858,8.60763481263532
Angola,Africa,1977,39.483,6162675,8.009245873018866
Angola,Africa,1982,39.942,7016384,7.921881607110396
Angola,Africa,1987,39.906,7874230,7.7957322573518
Angola,Africa,1992,40.647,8735988,7.8739196583218405
Angola,Africa,1997,40.963,9875024,7.730675936789145
Angola,Africa,2002,41.003,10866106,7.927788650778689
Angola,Africa,2007,42.731,12420476,8.475794211096686
Argentina,Americas,1952,62.485,17876956,8.684623598845723
Argentina,Americas,1957,64.399,19610538,8.833004337544303
Argentina,Americas,1962,65.142,21283783,8.87251045734714
Argentina,Americas,1967,65.634,22934225,8.993794138051967
Argentina,Americas,1972,67.065,24779799,9.153033085102253
Argentina,Americas,1977,68.481,26983828,9.218211983392335
Argentina,Americas,1982,69.942,29341374,9.104746208135857
Argentina,Americas,1987,70.774,31620918,9.120379710738412
Argentina,Americas,1992,71.868,33958947,9.138674507295269
Argentina,Americas,1997,73.275,36203463,9.302671751374756
Argentina,Americas,2002,74.34,38331121,9.082238864066401
Argentina,Americas,2007,75.32,40301927,9.455588185282302
Australia,Oceania,1952,69.12,8691212,9.214292117534265
Australia,Oceania,1957,70.33,9712569,9.301062733819364
Australia,Oceania,1962,70.93,10794968,9.410602272438497
Australia,Oceania,1967,71.1,11872264,9.583704007294104
Australia,Oceania,1972,71.93,13177000,9.728457119580886
Australia,Oceania,1977,73.49,14074100,9.81652331134468
Australia,Oceania,1982,74.74,15184200,9.8769900376892
Australia,Oceania,1987,76.32,16257249,9.993734436830607
Australia,Oceania,1992,77.56,17481977,10.061549153161671
Australia,Oceania,1997,78.83,18565243,10.20351571873272
Australia,Oceania,2002,80.37,19546792,10.331618985276355
Australia,Oceania,2007,81.235,20434176,10.446839438460565
Austria,Europe,1952,66.8,6927772,8.722103766381814
Austria,Europe,1957,67.48,6965860,9.087336007249453
Austria,Europe,1962,69.54,7129864,9.282728111306046
Austria,Europe,1967,70.14,7376998,9.459900115030328
Austria,Europe,1972,70.63,7544201,9.720863485990712
Austria,Europe,1977,72.17,7568430,9.890879519268548
Austria,Europe,1982,73.18,7574613,9.980313566963968
Austria,Europe,1987,74.94,7578903,10.072716527218166
Austria,Europe,1992,76.04,7914969,10.205147182695773
Austria,Europe,1997,77.51,8069876,10.278353259827803
Austria,Europe,2002,78.98,8148312,10.38645700138868
Austria,Europe,2007,79.829,8199783,10.494781744976294
Bahrain,Asia,1952,50.939,120447,9.196959725577335
Bahrain,Asia,1957,53.832,138655,9.361841784162335
Bahrain,Asia,1962,56.923,171863,9.453543391325656
Bahrain,Asia,1967,59.923,202182,9.602698132895169
Bahrain,Asia,1972,63.3,230800,9.812942214272915
Bahrain,Asia,1977,65.593,297410,9.86993604096857
Bahrain,Asia,1982,69.052,377967,9.86324597860175
Bahrain,Asia,1987,70.75,454612,9.826823766455338
Bahrain,Asia,1992,72.601,529491,9.85406509493633
Bahrain,Asia,1997,73.925,598561,9.917982826105911
Bahrain,Asia,2002,74.795,656397,10.060643395334472
